leadtime,number,time,tprate
5,11,1983-02-01,2.9657902338867914
5,11,1984-02-01,2.1331472554359294
5,11,1985-02-01,1.215061427167135
5,11,1986-02-01,2.487238419915159
5,11,1987-02-01,1.9099342178945342
5,11,1988-02-01,3.4511867532101848
5,11,1989-02-01,0.7094052162925674
5,11,1990-02-01,1.7401007212623134
5,11,1991-02-01,4.549304219775331
5,11,1992-02-01,2.802509475155494
5,11,1993-02-01,3.3828997451777783
5,11,1994-02-01,0.6451607961366903
5,11,1995-02-01,4.214939644654151
5,11,1996-02-01,2.4770283564742455
5,11,1997-02-01,2.0248101657661
5,11,1998-02-01,1.7333476083543817
5,11,1999-02-01,2.307848028736456
5,11,2000-02-01,2.5081335554934037
5,11,2001-02-01,2.8184899287951315
5,11,2002-02-01,3.129342869550697
5,11,2003-02-01,2.3346027353775325
5,11,2004-02-01,1.6849706624313319
5,11,2005-02-01,2.252321562628893
5,11,2006-02-01,2.491259551259669
5,11,2007-02-01,3.3976439978510715
5,11,2008-02-01,1.8644044912230069
5,11,2009-02-01,3.019694149486439
5,11,2010-02-01,2.518423043535544
5,11,2011-02-01,3.013494622538941
5,11,2012-02-01,4.009759166528349
5,11,2013-02-01,1.560656749507309
5,11,2014-02-01,4.097898678731663
5,11,2015-02-01,1.97210073090983
5,11,2016-02-01,1.8244704537201049
5,12,1982-02-01,1.8799529959784405
5,12,1983-02-01,1.9919262495902246
5,12,1984-02-01,3.3074150331610856
5,12,1985-02-01,2.9188563443869624
5,12,1986-02-01,2.2728758428245297
5,12,1987-02-01,3.0524842897090028
5,12,1988-02-01,1.9054439117567128
5,12,1989-02-01,3.0751127040740625
5,12,1990-02-01,4.606413341358541
5,12,1991-02-01,2.6287456999250205
5,12,1992-02-01,2.544017295904548
5,12,1993-02-01,2.4140547840432105
5,12,1994-02-01,3.6435237464009673
5,12,1995-02-01,3.212212002776823
5,12,1996-02-01,3.306727723335112
5,12,1997-02-01,1.7496953189843854
5,12,1998-02-01,4.37959426568789
5,12,1999-02-01,2.0051555943643833
5,12,2000-02-01,2.8098738496350806
5,12,2001-02-01,1.9120854322797933
5,12,2002-02-01,1.029421225355923
5,12,2003-02-01,3.866256802580431
5,12,2004-02-01,3.6764813407173755
5,12,2005-02-01,1.4372178175772379
5,12,2006-02-01,2.3890797318448103
5,12,2007-02-01,2.7985971096262166
5,12,2008-02-01,1.7535099833055707
5,12,2009-02-01,3.815345433849088
5,12,2010-02-01,3.5753312352374227
5,12,2011-02-01,1.259743942295385
5,12,2012-02-01,5.313151028926705
5,12,2013-02-01,1.369609177618837
5,12,2014-02-01,1.6921351280243584
5,12,2015-02-01,3.378381727479633
5,12,2016-02-01,3.347069073377458
5,13,1982-02-01,2.922574630607846
5,13,1983-02-01,2.404354274281887
5,13,1984-02-01,3.313596515462954
5,13,1985-02-01,3.887975697838668
5,13,1986-02-01,2.493769752976714
5,13,1987-02-01,3.719156927491835
5,13,1988-02-01,2.7119713110212107
5,13,1989-02-01,2.145908095084055
5,13,1990-02-01,3.9836944589466476
5,13,1991-02-01,2.746552203955674
5,13,1992-02-01,3.331830712703291
5,13,1993-02-01,3.4269880135897384
5,13,1994-02-01,2.0073272477460935
5,13,1995-02-01,2.990311037626709
5,13,1996-02-01,1.598143635514226
5,13,1997-02-01,1.8063914983753608
5,13,1998-02-01,2.5878043600891294
5,13,1999-02-01,3.4560687725159904
5,13,2000-02-01,1.4963048505980812
5,13,2001-02-01,1.9593503578994638
5,13,2002-02-01,2.960122167513973
5,13,2003-02-01,2.9691184503479344
5,13,2004-02-01,1.9591754432767585
5,13,2005-02-01,1.2607992415545317
5,13,2006-02-01,2.08162307309518
5,13,2007-02-01,1.642530177655772
5,13,2008-02-01,3.1987173461980025
5,13,2009-02-01,1.887401375705851
5,13,2010-02-01,2.9140951350418542
5,13,2011-02-01,2.1338605173159833
5,13,2012-02-01,1.066910698314107
5,13,2013-02-01,1.1649917411273567
5,13,2014-02-01,2.880325226291702
5,13,2015-02-01,2.3061308661399007
5,13,2016-02-01,1.0292621731475722
5,14,1982-02-01,0.878212847588262
5,14,1983-02-01,3.928163823732412
5,14,1984-02-01,1.8575720481429503
5,14,1985-02-01,2.815425422424116
5,14,1986-02-01,2.5112184418696324
5,14,1987-02-01,2.082668859615761
5,14,1988-02-01,3.4002944203469068
5,14,1989-02-01,2.0600654081299816
5,14,1990-02-01,3.142268427002534
5,14,1991-02-01,2.350043661922519
5,14,1992-02-01,1.6771565504097101
5,14,1993-02-01,2.810797782540435
5,14,1994-02-01,2.629708736124504
5,14,1995-02-01,3.621127100833665
5,14,1996-02-01,2.6828631430548997
5,14,1997-02-01,1.0048807011496075
5,14,1998-02-01,2.449122021053806
5,14,1999-02-01,3.38834317346285
5,14,2000-02-01,2.173585734042839
5,14,2001-02-01,1.4218434269346771
5,14,2002-02-01,3.0701700217364682
5,14,2003-02-01,2.5078520026410818
5,14,2004-02-01,2.5887699975679084
5,14,2005-02-01,1.0662245925453069
5,14,2006-02-01,2.5919937179846153
5,14,2007-02-01,3.0782193261486523
5,14,2008-02-01,2.6871784078166905
5,14,2009-02-01,2.592475149511323
5,14,2010-02-01,2.1717057360510847
5,14,2011-02-01,2.5835689962925694
5,14,2012-02-01,4.695054872303067
5,14,2013-02-01,1.33689837313483
5,14,2014-02-01,3.472863559386992
5,14,2015-02-01,3.015174720059333
5,14,2016-02-01,3.3145153922767183
5,15,1982-02-01,2.5385640243092857
5,15,1983-02-01,1.7454432153716506
5,15,1984-02-01,1.348814073410236
5,15,1985-02-01,2.4884848170708427
5,15,1986-02-01,2.5544134887864987
5,15,1987-02-01,0.8638039341725379
5,15,1988-02-01,5.16101613066478
5,15,1989-02-01,1.647050187944692
5,15,1990-02-01,1.9982315237240786
5,15,1991-02-01,2.7866699908559376
5,15,1992-02-01,2.96826101001376
5,15,1993-02-01,1.0873495108471891
5,15,1994-02-01,2.1979542748562193
5,15,1995-02-01,2.727978034984637
5,15,1996-02-01,2.284147474927816
5,15,1997-02-01,1.4182258299675246
5,15,1998-02-01,1.7168084911305972
5,15,1999-02-01,2.8718454134458438
5,15,2000-02-01,2.8594252927231403
5,15,2001-02-01,2.603429842970107
5,15,2002-02-01,1.6304402430177356
5,15,2003-02-01,2.2937833340027893
5,15,2004-02-01,0.8487455347487598
5,15,2005-02-01,2.882170726465841
5,15,2006-02-01,0.791794606636063
5,15,2007-02-01,2.1838149751686036
5,15,2008-02-01,3.030843536326438
5,15,2009-02-01,3.284975944116684
5,15,2010-02-01,2.3449396257670285
5,15,2011-02-01,2.9173321112895176
5,15,2012-02-01,1.0196851736007888
5,15,2013-02-01,1.6548850461094664
5,15,2014-02-01,2.884610751359969
5,15,2015-02-01,3.5023841499578547
5,15,2016-02-01,2.261623635616383
5,16,1982-02-01,3.7532425835062475
5,16,1983-02-01,3.460916728755014
5,16,1984-02-01,3.413352042899689
5,16,1985-02-01,1.9921550613551189
5,16,1986-02-01,2.6359105223363914
5,16,1987-02-01,1.543762467155548
5,16,1988-02-01,4.076105523163979
5,16,1989-02-01,2.479716261947774
5,16,1990-02-01,0.6476444123875053
5,16,1991-02-01,1.972282107902837
5,16,1992-02-01,1.547072314689435
5,16,1993-02-01,2.028827553213291
5,16,1994-02-01,1.6504722322351408
5,16,1995-02-01,1.707749113195566
5,16,1996-02-01,2.8033280249653467
5,16,1997-02-01,3.3818754467956804
5,16,1998-02-01,1.8471127543299195
5,16,1999-02-01,2.53839269302285
5,16,2000-02-01,2.228839255183589
5,16,2001-02-01,1.9920170864352869
5,16,2002-02-01,3.3651399675921025
5,16,2003-02-01,4.00412683693459
5,16,2004-02-01,3.013848088632145
5,16,2005-02-01,1.168357170769363
5,16,2006-02-01,2.1926223609340845
5,16,2007-02-01,1.063034239528137
5,16,2008-02-01,3.332198783363429
5,16,2009-02-01,1.835972623717721
5,16,2010-02-01,1.5073077119258413
5,16,2011-02-01,1.746973549566245
5,16,2012-02-01,2.273791446186075
5,16,2013-02-01,0.6305376155605639
5,16,2014-02-01,3.0082806429017803
5,16,2015-02-01,2.027519370311172
5,16,2016-02-01,1.9271888759009435
5,17,1982-02-01,3.7860846590322192
5,17,1983-02-01,2.119598534549482
5,17,1984-02-01,3.5130942465094295
5,17,1985-02-01,3.5157133845444553
5,17,1986-02-01,3.6268244137299686
5,17,1987-02-01,1.5012194780073655
5,17,1988-02-01,1.8549538663452403
5,17,1989-02-01,2.668394980323723
5,17,1990-02-01,3.098922675545204
5,17,1991-02-01,3.40460910114503
5,17,1992-02-01,3.0713957739808997
5,17,1993-02-01,2.314073453063637
5,17,1994-02-01,2.429188442875594
5,17,1995-02-01,2.4976524008998853
5,17,1996-02-01,2.333336049233035
5,17,1997-02-01,3.403671429629129
5,17,1998-02-01,2.5479304238074834
5,17,1999-02-01,3.735714648117485
5,17,2000-02-01,3.1786835417162775
5,17,2001-02-01,1.8041726104704872
5,17,2002-02-01,3.1715066422920954
5,17,2003-02-01,1.710785547921033
5,17,2004-02-01,1.80661457676291
5,17,2005-02-01,3.6322333792132553
5,17,2006-02-01,3.301765274688862
5,17,2007-02-01,1.4117971535190255
5,17,2008-02-01,3.8945205921041324
5,17,2009-02-01,3.3840313371804527
5,17,2010-02-01,3.224722487669942
5,17,2011-02-01,2.9102552186524324
5,17,2012-02-01,3.1031602011250903
5,17,2013-02-01,2.094502312704339
5,17,2014-02-01,1.7001517866784825
5,17,2015-02-01,3.743329499079317
5,17,2016-02-01,1.9660578619360265
5,18,1982-02-01,3.6167785433553252
5,18,1983-02-01,2.9906403426844896
5,18,1984-02-01,2.30508802250377
5,18,1985-02-01,1.4262729909684895
5,18,1986-02-01,3.119558445843309
5,18,1987-02-01,2.533034969795678
5,18,1988-02-01,2.4063290945048355
5,18,1989-02-01,2.048458509077146
5,18,1990-02-01,6.1696143815105104
5,18,1991-02-01,3.0920861518257228
5,18,1992-02-01,2.5434632339171963
5,18,1993-02-01,1.419067231160355
5,18,1994-02-01,1.390770580457185
5,18,1995-02-01,2.2562206152380604
5,18,1996-02-01,0.8504323915307204
5,18,1997-02-01,2.2681281120580796
5,18,1998-02-01,2.760530964085194
5,18,1999-02-01,1.9627354396140106
5,18,2000-02-01,0.7004796922157133
5,18,2001-02-01,2.7961312897659716
5,18,2002-02-01,4.192867757481503
5,18,2003-02-01,3.925848623968234
5,18,2004-02-01,1.4665166015247684
5,18,2005-02-01,1.887355516234923
5,18,2006-02-01,1.7250307682511883
5,18,2007-02-01,2.1981765419349015
5,18,2008-02-01,2.769900189441
5,18,2009-02-01,4.376476896292136
5,18,2010-02-01,1.379575283803987
5,18,2011-02-01,1.6291498236871587
5,18,2012-02-01,1.9701515734642687
5,18,2013-02-01,0.8649113500900982
5,18,2014-02-01,3.236275872402071
5,18,2015-02-01,2.022961314197219
5,18,2016-02-01,3.8423755943778946
5,19,1982-02-01,4.049970828555542
5,19,1983-02-01,1.6694010570156843
5,19,1984-02-01,3.371921388671395
5,19,1985-02-01,2.0475470304488526
5,19,1986-02-01,1.0068217875690029
5,19,1987-02-01,3.8955146015623963
5,19,1988-02-01,3.884773438591007
5,19,1989-02-01,2.2165198569116256
5,19,1990-02-01,4.287588432603845
5,19,1991-02-01,2.027891797740643
5,19,1992-02-01,2.7415390875704952
5,19,1993-02-01,4.849764178499551
5,19,1994-02-01,3.205709965110485
5,19,1995-02-01,2.9265298419874277
5,19,1996-02-01,2.058557815807116
5,19,1997-02-01,3.6790524370559674
5,19,1998-02-01,1.4926986751359772
5,19,1999-02-01,2.5555571843088902
5,19,2000-02-01,1.5054099685529045
5,19,2001-02-01,1.8228726395647832
5,19,2002-02-01,2.972896788824131
5,19,2003-02-01,4.280993057717734
5,19,2004-02-01,1.8415082953256015
5,19,2005-02-01,2.8764459294191145
5,19,2006-02-01,4.1765221660456495
5,19,2007-02-01,1.696039254177215
5,19,2008-02-01,3.162289417318629
5,19,2009-02-01,0.920470333487638
5,19,2010-02-01,1.105839326559273
5,19,2011-02-01,1.2679274245580894
5,19,2012-02-01,2.5530858849659706
5,19,2013-02-01,2.4233900124805463
5,19,2014-02-01,1.264455792837271
5,19,2015-02-01,2.3216907855809668
5,19,2016-02-01,2.951501918702907
5,20,1982-02-01,1.3786195085911899
5,20,1983-02-01,2.55534900484038
5,20,1984-02-01,2.755505433010701
5,20,1985-02-01,2.4776435057734782
5,20,1986-02-01,1.1552525409792411
5,20,1987-02-01,1.850908702706811
5,20,1988-02-01,2.462243466556039
5,20,1989-02-01,2.340876313291856
5,20,1990-02-01,2.8133022373862073
5,20,1991-02-01,2.632973418920829
5,20,1992-02-01,3.786420935768223
5,20,1993-02-01,3.909296505722204
5,20,1994-02-01,2.647057341665299
5,20,1995-02-01,3.021671210805175
5,20,1996-02-01,3.524339223051993
5,20,1997-02-01,2.6075110009180094
5,20,1998-02-01,2.56479072143968
5,20,1999-02-01,1.3939298029348288
5,20,2000-02-01,2.522428372383924
5,20,2001-02-01,3.8366364011288825
5,20,2002-02-01,2.990602030691714
5,20,2003-02-01,3.6901312456058317
5,20,2004-02-01,3.8832752644756288
